abazinok                      abazin
abazin                        abaz
abba                          ab
abbahagyja                    abbahagy
abbahagyni                    abbahagyn
abbahagynám                   abbahagyna
abbahagyom                    abbahagy
abbahagyott                   abbahagyot
abbahagyta                    abbahagyt
abbahagytam                   abbahagyt
abbahagytuk                   abbahagyt
abbahagyták                   abbahagyta
abbahagyása                   abbahagyás
abbahagyását                  abbahagyás
abbahagy                      abbahagy
abbamaradni                   abbamaradn
abbamaradt                    abbamar
abbamarad                     abbamar
abbéli                        abbél
abból                         ab
abban                         ab
abc-be                        abc-
abc                           abc
abházokhoz                    abház
abházok                       abház
abház                         abház
ablaka                        abl
ablakai                       abl
ablakaikkal                   abl
ablakainak                    abl
ablakait                      abl
ablakba                       abl
ablakban                      abl
ablakból                      abl
ablakhoz                      abl
ablakkal                      abl
ablaknál                      abl
ablakok                       ablak
ablakokat                     ablak
ablakokkal                    ablak
ablakokon                     ablak
ablakoktól                    ablak
ablakon                       abl
ablakot                       abl
ablakra                       abl
ablakában                     abl
ablakából                     abl
ablakán                       abl
ablakának                     abl
ablakátablak                  ablakátabl
ablakemelõ                    ablakemelõ
ablakkeret                    ablakker
ablakmosó                     ablakmosó
ablaknyílásokkal              ablaknyílás
ablaknyílás                   ablaknyílás
ablaküvegen                   ablaküveg
ablaküveget                   ablaküveg
ablaküveg                     ablaküveg
ablakrésekhez                 ablakrés
ablakrések                    ablakrés
ablakrés                      ablakrés
ablaktalan                    ablaktal
ablaktáblán                   ablaktábl
ablaktábla                    ablaktábl
ablakos                       ablakos
ablakpárkánynak               ablakpárkány
ablakpárkányon                ablakpárkány
ablakpárkány                  ablakpárkány
abnormális                    abnormális
abortuszon                    abortusz
abortusz                      abortusz
abroncsok                     abroncs
abroncs                       abroncs
abrosszal                     abrosz
abrosz                        abrosz
abszolutisztikus              abszolutisztikus
abszolutizmus                 abszolutizmus
abszolváltam                  abszolvált
abszolvál                     abszolvál
abszolúciót                   abszolúció
abszolúció                    abszolúció
abszolúte                     abszolút
abszolút                      abszolú
absztrakció                   absztrakció
absztrakt                     absztr
abszurd                       abszur
abszurditásán                 abszurditás
abszurditás                   abszurditás
abszurdum                     abszurdu
accountokról                  account
accountok                     account
account                       accoun
acetilszalicilsav             acetilszalicilsav
achátból                      achát
achát                         ach
acsony                        acsony
activával                     activ
activa                        activ
acélajtókon                   acélajtó
acélajtó                      acélajtó
acélból                       acél
acéllal                       acél
acélt                         acél
acél                          acél
acélgyártója                  acélgyártó
acélgyártó                    acélgyártó
acélipari                     acélipar
acélkemény                    acélkemény
acélrúddal                    acélrú
acélrudat                     acélru
acélrúd                       acélrú
acéltermelésének              acéltermelés
acéltermelés                  acéltermelés
acélvázas                     acélvázas
acélváz                       acélváz
adagjánál                     adag
adagját                       adag
adagokkal                     adag
adagot                        adag
adagunkat                     adag
adag                          adag
adagolt                       adagol
adagolt                       adagol
adagolási                     adagolás
adagol                        adagol
adagolójába                   adagoló
adagolós                      adagolós
adakozókedv                   adakozókedv
adakozóknak                   adakozó
adakoz                        adakoz
adalék                        adale
adaptert                      adapter
adapter                       adapter
adaptációja                   adaptáció
adaptációs                    adaptációs
adaptáció                     adaptáció
adaptálják                    adaptálja
adaptálása                    adaptálás
adaptáló                      adaptáló
adaptál                       adaptál
adaptív                       adaptív
adata                         adat
adatai                        adat
adataiban                     adat
adataiból                     adat
adataik                       adat
adataikat                     adat
adatainak                     adat
adataink                      adat
adatainkat                    adat
adataira                      adat
adatait                       adat
adataival                     adat
adat                          ad
adatból                       adat
adatként                      adat
adatnak                       adat
adatok                        adat
adatokat                      adat
adatokba                      adat
adatokban                     adat
adatokból                     adat
adatokhoz                     adat
adatokig                      adat
adatokkal                     adat
adatoknak                     adat
adatoknak                     adat
adatoknál                     adat
adatokon                      adat
adatokra                      adat
adatokról                     adat
adatot                        adat
adatra                        adat
adatról                       adat
adattal                       ad
adatát                        adat
adatának                      adat
adatanalízis                  adatanalízis
adatbankként                  adatba
adatbank                      adatba
adatbejelentési               adatbejelentés
adatbejelentés                adatbejelentés
adatbevitelben                adatbevitel
adatbevitel                   adatbevitel
adatbeviteli                  adatbevitel
adatbitek                     adatb
adatbiteket                   adatb
adatbitekké                   adatb
adatbitre                     adatbit
adatbit                       adatb
adatblokkok                   adatblokk
adatblokkokat                 adatblokk
adatblokk                     adatblok
adatbányászat                 adatbányász
adatbányászati                adatbányászat
adatbányászatot               adatbányászat
adatbányászattal              adatbányász
adatbázis                     adatbázis
adatbázisa                    adatbázis
